"","ID","name","address","country","city"
"42",308,"PricePlan","Russia, Moscow, 16/10 Mikluho-Maklaya Street","Russia","Moscow"
"43",313,"FSA (Immersive Education, Simulation-based Learning, Virtual Reality, ""Serious Games"")","Russia, Astrakhan, Sverdlova st., 45","Russia","Astrakhan"
"44",323,"Sniply","Canada, Calgary, 180 Edgehill Drive NW","Canada","Calgary"
"45",329,"whowithme.ru","Russia, Smolensk, Smolensk","Russia","Smolensk"
"46",331,"NeoSound","Belarus, Minsk, Minsk","Belarus","Minsk"
"47",332,"АкваКоралл","Russia, Moscow, Moscow-City, Federation Tower, Suite 207","Russia","Moscow"
"48",340,"Wepster","Ukraine, Kyiv, Kadetskiy Gai, 3","Ukraine","Kyiv"
"49",354,"Beer Render","Russia, Omsk, 1-я чередовая 1","Russia","Omsk"
"50",372,"MusicPortal","Russia, Moscow, Sholohova Str., 13, office 1a","Russia","Moscow"
"51",377,"Thermomert LLC","Russia, Kazan, Павлюхина 110, к. 32","Russia","Kazan"
"52",380,"ToBotOrNot","Belarus, Minsk, Karastoyanovoy 32","Belarus","Minsk"
"53",424,"SJ","Spain, Madrid, Madrid","Spain","Madrid"
"54",434,"ELSE","Switzerland, Lausanne, ELSE SA, EPFL Innovation Park, Ch. de la Raye 13, 1024 Ecublens","Switzerland","Lausanne"
"55",458,"Sportsplay Interaction","Australia, Melbourne, P.O.Box 9295, South Yarra, Victoria 3141","Australia","Melbourne"
"56",462,"farSight","Russia, Vladivostok, 51, Neibuta str.","Russia","Vladivostok"
"57",463,"Автоматический бухгалтерский учет на предприятии","Russia, Krasnoyarsk, ул. Можайского, 5","Russia","Krasnoyarsk"
"58",466,"Orlan Technology Group, Ltd.","Russia, Novosibirsk,  ул. Инженерная 20","Russia","Novosibirsk"
"59",467,"AQUIFER Ltd","Russia, Moscow, MR, Электросталь . Спортивная, д 24","Russia","Moscow"
"60",470,"WebTaxi","United States, New York, USA, Delawere, Wilmington; 919 NORTH MARKET STREET, SUITE 425; CODE: 19801.","United States","New York"
"61",476,"TestCaseLab","Ukraine, Kyiv, Kyiv","Ukraine","Kyiv"
"62",478,"VISUAL OFFICE","Russia, Moscow, Obninsk","Russia","Moscow"
"63",485,"QStoma","Ukraine, Luhansk, Moscow, RF; The company does not open","Ukraine","Luhansk"
"64",486,"Home Planning","Armenia, Yerevan, Yerevan, Armenia","Armenia","Yerevan"
"65",495,"ANONS","Russia, Moscow, The company does not open","Russia","Moscow"
"66",496,"Фингуру","Russia, Moscow, ул. Неглинная 17, стр.2","Russia","Moscow"
"67",497,"Contraflu PTE Ltd.","Singapore, Singapore, 105 Cecil Street, Octagon, 069534, SINGAPORE","Singapore","Singapore"
"68",498,"ООО ""Тросовый привод""","Russia, Moscow, 115598 Russia, Moscow? Zagorevskaya 14-1-105","Russia","Moscow"
"69",503,"R-Vin","Russia, Krasnodar, Krasnodar","Russia","Krasnodar"
"70",504,"AirHES","Russia, Saint Petersburg, Vernosti 48-12","Russia","Saint Petersburg"
"71",506,"CASSELLS IT SOLUTIONS","India, Bangalore, The Esplanade , Convent Junction , Kochi ","India","Bangalore"
"72",515,"1bank4all founding association","Switzerland, Basel, Oberwilerstr. 35, 4054 Basel","Switzerland","Basel"
"73",518,"Couch potato","Russia, Moscow, Москва ул. Мосфильмовская","Russia","Moscow"
"74",524,"uKonect","Switzerland, Geneva, Route de Crassier 4","Switzerland","Geneva"
"75",527,"Express Travel","Guinea-Bissau, Bissau, Bissau","Guinea-Bissau","Bissau"
"76",533,"HotHaus","Singapore, Singapore, 8 Springwood Walk","Singapore","Singapore"
"77",534,"Zenra Mobi Solutions Pvt Ltd","India, Bangalore, #35-36, 4th Floor, Krishna Reddy layout, Domlur-71, Bangalore","India","Bangalore"
"78",537,"Akash Advisors","India, New Delhi, 5/196,G.F.,Sunder Vihar,New Delhi","India","New Delhi"
"79",551,"FEELIGREEN","France, Nice, Sophia-Antipolis","France","Nice"
"80",564,"Tourgeog","Russia, Chelyabinsk, Magnitogorsk","Russia","Chelyabinsk"
"81",568,"Wind Energy Venture Fund","Russia, Moscow, ***","Russia","Moscow"
"82",574,"Delivery City","Russia, Moscow, Moscow","Russia","Moscow"
"83",576,"Broadcast Wear","India, Hyderabad, Hyderabad","India","Hyderabad"
"84",578,"Hypercycle","Canada, Vancouver, 928 Beatty St., Vancouver, B.C., Canada","Canada","Vancouver"
"85",592,"VIRBI - виртуальное пространство для создания бизнеса","Russia, Kirov, Kirov","Russia","Kirov"
"86",595,"ООО ""ИнПроект""","Russia, Astrakhan, ул. Менжинского 8","Russia","Astrakhan"
"87",601,"СТЕНДКОР(STANDKOR)","Russia, Smolensk, ул. Ново-Московская, дом 2/8","Russia","Smolensk"
"88",602,"Global Investment Search Program - App Finger","Israel, Jerusalem,  Karmiel, Mish'ol Hatsav 26","Israel","Jerusalem"
"89",605,"evoke","Russia, Saint Petersburg, проспект Испытателей, 8к1","Russia","Saint Petersburg"
"90",609,"Adamantify","Russia, Saint Petersburg, Kamennoostrovskiy prospekt, 38, Kokon Space","Russia","Saint Petersburg"
"91",612,"Онлайн-школа","Russia, Chelyabinsk, Челябинск","Russia","Chelyabinsk"
"92",614,"RA-Studio","Russia, Samara, Samara","Russia","Samara"
"93",623,"Clinic Advisor","Russia, Moscow, Leninskii pr 17","Russia","Moscow"
"94",625,"Psychology-info","Russia, Moscow, Moscow","Russia","Moscow"
"95",631,"Medisponsor.com","India, Navi Mumbai, CMD,Navi Mumbai","India","Navi Mumbai"
"96",640,"SpdLoad","Ukraine, Kharkiv, kharkiv","Ukraine","Kharkiv"
"97",645,"Zdravprint","Russia, Moscow, Khokhlovskiy pereulok 7/9 bld.2","Russia","Moscow"
"98",647,"Kviker","Russia, Moscow, Б. Новодмитровская 36 (Дизайн-завод ""Флакон"")","Russia","Moscow"
"99",648,"Aerogabs","Switzerland, Geneva, route annecy 1256 troinex","Switzerland","Geneva"
"100",649,"travel d'globe","India, New Delhi, Gandhi Nagar, East Delhi","India","New Delhi"
"101",651,"Superb Business Solutions (Pvt)Ltd","Sri Lanka, Gampaha, No: 62,First Floor,  Sanasa Ideal Shopping Complex ,  Bauddhaloka Mawatha, Gampaha.","Sri Lanka","Gampaha"
"102",658,"ООО ""Самаха""","Russia, Grozny,   Чеченская Республика, г. Гудермес, ул. Кавказская, дом 67","Russia","Grozny"
"103",668,"Speereo Software ","Russia, Saint Petersburg, 195279, Russia, St.Petersburg, Piskarevsky pr. 63B","Russia","Saint Petersburg"
"104",676,"Shapalak","Kazakhstan, Astana, Astana","Kazakhstan","Astana"
"105",678,"velovod","Russia, Rostov-on-Don, Suvorova st.","Russia","Rostov-on-Don"
"106",683,"Solomania","Kazakhstan, Astana, Astana, zhagalau 3","Kazakhstan","Astana"
"107",688,"ValleyRoad Capital ","Switzerland, Geneva, Route Cite-Ouest 2, 1196 Gland","Switzerland","Geneva"
"108",694,"capericoo","India, Bangalore, Bangalore , basavanagudi","India","Bangalore"
"109",697,"Lift Conference","Switzerland, Geneva, 18, quai du Seujet","Switzerland","Geneva"
"110",703,"Prognostic service for industrial internet (IIoT)","Russia, Moscow, Moscow, Moscow City","Russia","Moscow"
"111",715,"Share4car","Armenia, Yerevan, Nor Norq, Yerevan , Armenia, 0079","Armenia","Yerevan"
"112",716,"Трекер-тренажер ""АНТИ-тромб""","Russia, Ulyanovsk, 432012, г.Ульяновск, Россия, Ульяновская область","Russia","Ulyanovsk"
"113",717,"SensAqua","Russia, Saint Petersburg, St. Petersburg, Russia","Russia","Saint Petersburg"
"114",719,"TeleSmile - Personal Information Manager holidays","Russia, Saint Petersburg, Ligovsky","Russia","Saint Petersburg"
"115",723,"WebIQ","Russia, Saint Petersburg, Набережная реки Мойки д. 61","Russia","Saint Petersburg"
"116",727,"Handscart.com","India, Jaipur, B46A,Raghunthapuri,kalwar road,jhotwara,jaipur","India","Jaipur"
"117",730,"DeepCyber","Russia, Saint Petersburg, Saint Petersburg","Russia","Saint Petersburg"
"118",731,"Order.Processor","Russia, Moscow, 121596,  Moscow Govorova str. 11/1-88","Russia","Moscow"
"119",732,"Hideez Technology LTD","Ukraine, Kyiv, 4a Mira pr, Kyiv","Ukraine","Kyiv"
"120",733,"Blockchain Basic Contract Verification","Russia, Vladivostok, Bestujeva 31-42","Russia","Vladivostok"
"121",736,"MyTechnis","Switzerland, Lausanne, Lausanne","Switzerland","Lausanne"
"122",737,"MECHSCINOVATE ","India, Ludhiana, Ludhiana, Punjab, India ","India","Ludhiana"
"123",739,"MD4ME","Russia, Kirov, Kirov","Russia","Kirov"
"124",740,"Optiplane UAS, Ltd.","Russia, Novosibirsk, Inzhenernaya, 20-301","Russia","Novosibirsk"
"125",746,"Future in Hand Dream planners ","Sri Lanka, Galle, Minuwandeniya, Atahaula, Thalgampola, Galle, Sri Lanka. ","Sri Lanka","Galle"
"126",749,"BfB","Russia, Saint Petersburg, Saint Petersburg","Russia","Saint Petersburg"
"127",751,"Ray technology","Russia, Orenburg, г.Оренбург","Russia","Orenburg"
"128",753,"G-Captcha","Russia, Moscow, Bolshaya Semenovskaya, 38","Russia","Moscow"
"129",756,"HR Scoring","Russia, Vladivostok, Irtishskaya st., 15-8","Russia","Vladivostok"
"130",775,"Internet-connected oxigen peeling","Russia, Moscow, Moscow, Bolotnikovskaya street, 36","Russia","Moscow"
"131",779,"A-FABRIQUE","Russia, Krasnodar, 10 Levanevskogo street, room 8","Russia","Krasnodar"
"132",788,"iHelper","United States, Seattle, Seattle","United States","Seattle"
"133",816,"Orion Labs","Russia, Saratov, Saratov","Russia","Saratov"
"134",825,"XCenter Solutions","Estonia, Tallinn, Tallinn","Estonia","Tallinn"
"135",829,"High tech electronic (IT)","Italy, Milan, *","Italy","Milan"
"136",843,"Orway","Italy, Turin, Torino","Italy","Turin"
"137",852,"Victoribus","Ukraine, Kharkiv, Kharkiv","Ukraine","Kharkiv"
"138",858,"Greenmay","Belarus, Minsk, 103 Pobediteley ave., office 305","Belarus","Minsk"
"139",867,"iDiscount LLC","Belarus, Minsk, Kuprevicha Street, 1/5, of.217a","Belarus","Minsk"
"140",868,"Air","Belarus, Minsk, Minsk","Belarus","Minsk"
"141",903,"Medicortex Finland Oy ","Finland, Turku, Pharma City, Itainen Pitkakatu 4 B, 4th floor , FI-20520 Turku,Finland","Finland","Turku"
"142",905,"Medicortex Finland Oy ","Finland, Turku, Itainen Pitkakatu 4 B, 4th floor  FI-20520 Turku, Finland","Finland","Turku"
"143",917,"ChangeAgain","Belarus, Minsk, Kuprevicha street, 1/5","Belarus","Minsk"
"144",926,"Picaton","Russia, Krasnodar, Starokubanskaya 114 - 310","Russia","Krasnodar"
"145",965,"Social Whisper","United States, Boston, Not yet","United States","Boston"
"146",971,"Агрегатор цен на продукты Catcen.ru","Russia, Vologda, Vologda","Russia","Vologda"
"147",976,"Hirokama","Russia, Moscow, Вавилова","Russia","Moscow"
"148",985,"Netguardians","Switzerland, Yverdon-les-Bains, Rue galile 6","Switzerland","Yverdon-les-Bains"
"149",987,"Global Trans Innovation","Kazakhstan, Astana, трасса Астана-Караганда 45, офис 10","Kazakhstan","Astana"
"150",988,"TICKEY","Bulgaria, Sofia, 85, Al. Malinov blvd., 3rd fl, office 5, 1712, Sofia, Bulgaria","Bulgaria","Sofia"
"151",996,"SkyWay Technologies Co.","Belarus, Minsk, 104 Dzerzhinskogo Ave., office 705B","Belarus","Minsk"
"152",1004,"ClinicIQ","Russia, Moscow, г. Москва, Балаклавский проспект, д.20, корп.4, пом. I ","Russia","Moscow"
"153",1007,"ГидНэт","Russia, Volgograd, Volgograd, str Lenina","Russia","Volgograd"
"154",1014,"Time Software","Russia, Moscow, Moscow city","Russia","Moscow"
"155",1023,"NA","Switzerland, Lausanne, na","Switzerland","Lausanne"
"156",1032,"StePower","Switzerland, Basel, Lettenrain 2b 4104 Oberwil","Switzerland","Basel"
"157",1037,"DRONEX","Ireland, Dublin, Dublin, Ireland","Ireland","Dublin"
"158",1040,"buzzer.space","Belarus, Minsk, Korzenevskogo 1/2","Belarus","Minsk"
"159",1044,"Web studios","Kazakhstan, Oskemen, Казахстан 112 Усть-каменгорск страна Казахстан","Kazakhstan","Oskemen"
"160",1046,"Ponches","Russia, Saint Petersburg, Saint-P","Russia","Saint Petersburg"
"161",1047,"Advanced Heat Pump through the Maisotsenko cycle (M-cycle)","Russia, Moscow, Moscow","Russia","Moscow"
"162",1052,"CITYSMARTPHONE","Russia, Yekaterinburg, ул. Розы Люксембург 22, оф. 611","Russia","Yekaterinburg"
"163",1054,"NotifyNinja","Estonia, Tallinn, *","Estonia","Tallinn"
"164",1055,"ErgoSensePro","Greece, Thessaloniki, Makedonias 157","Greece","Thessaloniki"
"165",1059,"SIPSS GLOBAL INDIA PVT LTD","India, Mysore, #2581 & 2582, Ground Floor, Snake Shyam Road, 2nd stage, Vijayanagar, Mysore – 570 017 ","India","Mysore"
"166",1066,"Growth Hakka","United Kingdom, London, Barnet .Edgware","United Kingdom","London"
"167",1081,"Фермерское хозяйство ""СаНоКи""","Russia, Yakutsk, 677000 г. Якутск, Республика Саха (Якутия)","Russia","Yakutsk"
"168",1105,"ООО ""Тахограф Мастер""","Russia, Naberezhnye Chelny, Производственный проезд","Russia","Naberezhnye Chelny"
"169",1176,"AdCom8","United States, Santa Ana, 1820 ","United States","Santa Ana"
"170",1183,"Logisticate It","United States, Washington, DC","United States","Washington"
"171",1185,"unadox","Switzerland, Zug, Grossmattstrasse 3","Switzerland","Zug"
"172",1190,"Valmes Plus","Russia, Krasnoyarsk, Michurina St. 3V, office 5 , Krasnoyarsk, Russia","Russia","Krasnoyarsk"
"173",1211,"Security Services Group","Ukraine, Kyiv, Kyiv","Ukraine","Kyiv"
"174",1217,"Pairtodo.com","Russia, Moscow, Москва","Russia","Moscow"
"175",1220,"Simformer.com","Lithuania, Vilnius, Konstitucijos pr., 12, 305","Lithuania","Vilnius"
"176",1228,"Work Master","Ukraine, Kharkiv, Харьков","Ukraine","Kharkiv"
"177",1260,"НПП ""DX-Системы"", проект IONIUM","Ukraine, Kharkiv, Tobolska str., 42, off.501","Ukraine","Kharkiv"
"178",1273,"AWAYN","United States, Los Angeles, Los Angeels","United States","Los Angeles"
"179",1283,"cBlueSky","United States, Houston, 2422 Hatfield Road, Pearland Texas 77581","United States","Houston"
"180",1292,"FindCapacity.com","Russia, Moscow, Sukh sq.","Russia","Moscow"
"181",1308,"Smartfield","Russia, Tomsk, Russia, Tomsk","Russia","Tomsk"
"182",1317,"United Services 4 Business & Capital Srl","Romania, Bucharest, 11 Ion Campineanu St., 4th floor, room 403, module A, sector 1","Romania","Bucharest"
"183",1352,"NovaPress Publisher","Russia, Moscow, Moscow","Russia","Moscow"
"184",1360,"Mesmo","France, Paris, Paris","France","Paris"
"185",1372,"ORIGIN, THE INTELLIGENT B2B TRANSACTIONS PLATFORM","United Kingdom, London, London","United Kingdom","London"
"186",1376,"Tennis Battle App","Latvia, Riga, Kr.Valdemara 21, Riga, LV-1010, Latvia","Latvia","Riga"
"187",1386,"Investment and Finance Company«SYMBOL","Ukraine, Kyiv, 02140 г. Киев, ул. Л. Руденко,6а,","Ukraine","Kyiv"
"188",1388,"Vyoocam","Croatia, Zagreb, Podsusedska aleja 73","Croatia","Zagreb"
"189",1391,"inkbe","Netherlands, Amsterdam, Amsterdam","Netherlands","Amsterdam"
"190",1394,"RISE Technology","Russia, Saint Petersburg, Петроградка","Russia","Saint Petersburg"
"191",1403,"Nested","Spain, Barcelona, Llull, 321","Spain","Barcelona"
"192",1406,"Blisaura","India, Bangalore, Brookefield","India","Bangalore"
"193",1409,"Gmach","Russia, Moscow, Маршала Жукова 78/5","Russia","Moscow"
"194",1414,"Skycryptor","Armenia, Yerevan, Yerevan","Armenia","Yerevan"
"195",1415,"Innomobs","Mexico, Monterrey, Privada del Retorno 146 D Col. Balcones del Valle","Mexico","Monterrey"
"196",1428,"TIU GROUP","Russia, Irkutsk, Лермонтова 90/1","Russia","Irkutsk"
"197",1438,"overPRO.ru - eSports matchmaking platform","Russia, Moscow, overpro.ru","Russia","Moscow"
"198",1441,"ennomotive","Spain, Madrid, Castrillo de Aza, 7","Spain","Madrid"
"199",1460,"Center Health","Ukraine, Kyiv, Spasskaya, 31B. Office 308","Ukraine","Kyiv"
"200",1475,"Global Scientific Management","Spain, Madrid, Cosme Gamella, 5. 28270. Colmenarejo. MADRID","Spain","Madrid"
"201",1477,"Mailcoding","Italy, Modena, Via W. Tabacchi, 125","Italy","Modena"
"202",1495,"cyberProductivity SA","Poland, Warsaw, Al. Jerozlimskie 56c, 00-803 Warsaw","Poland","Warsaw"
"203",1521,"Monetas","Switzerland, Zug, Baa","Switzerland","Zug"
"204",1524,"Leadres","Russia, Moscow, 3, Polkovaya street","Russia","Moscow"
"205",1527,"Memoreality","Russia, Rostov-on-Don, Suvorova 91, 7level","Russia","Rostov-on-Don"
"206",1542,"ennomotive","Spain, Madrid, Castrillo de Aza, 7","Spain","Madrid"
"207",1546,"PCA Ingenieria","Chile, Santiago, Calle 30 #32-60","Chile","Santiago"
"208",1553,"Neovima","Russia, Khabarovsk, Karla Marksa 88","Russia","Khabarovsk"
"209",1571,"Rural Travel Creator","Croatia, Zagreb, Petrova 38","Croatia","Zagreb"
"210",1573,"Vantino","Switzerland, Geneva, 38, rue de Lausanne CP 2933 1211 Geneve 2","Switzerland","Geneva"
"211",1579,"Andromeda Solutions","United States, San Francisco, Livermore, CA","United States","San Francisco"
"212",1591,"Tordenson","Russia, Moscow, Presnenskaya nab 6 b2","Russia","Moscow"
"213",1597,"ActLight SA","Switzerland, Lausanne, EPFL Innovation Park, Building I","Switzerland","Lausanne"
"214",1598,"Assembli","Malawi, Blantyre, blantyre","Malawi","Blantyre"
"215",1606,"EasyLaw","Russia, Moscow, Kirpichnaya st., 33","Russia","Moscow"
"216",1607,"myHealthbox","Italy, Milan, Via Spadolini 11B","Italy","Milan"
"217",1621,"GameBeat","Slovenia, Ljubljana, Ljubljana","Slovenia","Ljubljana"
"218",1628,"Shipgo","Russia, Krasnodar, Novorossiysk","Russia","Krasnodar"
"219",1630,"FlashMober","Russia, Moscow, Искры 31","Russia","Moscow"
"220",1633,"КПП9","Russia, Blagoveshchensk, г.Благовещенск","Russia","Blagoveshchensk"
"221",1652,"Colombo Business Consultants ","Sri Lanka, Colombo, Colombo","Sri Lanka","Colombo"
"222",1659,"Sabanci","Turkey, Istanbul, Istanbul","Turkey","Istanbul"
"223",1667,"MakeRight.ru","Russia, Saint Petersburg, Saint Petersburg, Primorskiy district ","Russia","Saint Petersburg"
"224",1668,"PriceUP","Russia, Rostov-on-Don, Ростов-на-Дону, пр.Кировский,51, офис 10","Russia","Rostov-on-Don"
"225",1669,"Realspace Vision Communication Inc.","Canada, Vancouver, 422 Richards Street Vancouver, British Columbia Canada V6B 2Z4","Canada","Vancouver"
"226",1694,"NormalFit","Belarus, Homyel, Internatsionalnaya 9/3","Belarus","Homyel"
"227",1700,"Эффектив энерджи солюшинс","Ukraine, Kyiv, ул. Николая Кибальчича","Ukraine","Kyiv"
"228",1709,"TRON: Technology Real-time Online Nucleus ","Russia, Vladivostok, Вольно Надежденский район, пос. Новый","Russia","Vladivostok"
"229",1727,"CSC","Sri Lanka, Colombo, Level 12, Parkland Building, No 33, Park Street, Colombo 02, Sri Lanka+9411 5686 270","Sri Lanka","Colombo"
"230",1735,"LimitlessMindMethod","Russia, Moscow, Москва, МГУ","Russia","Moscow"
"231",1737,"digitalheads.club","Germany, Hamburg, Kaiser-Wilhelm-Str. 83, 20355 Hamburg","Germany","Hamburg"
"232",1744,"Heppychat","India, Hyderabad, langer hosue, hyderabad.","India","Hyderabad"
"233",1745,"Tordenson setious games lab","Russia, Moscow, Presnenskaya nab. 2 b2","Russia","Moscow"
"234",1750,"Calm Mind","Russia, Kaliningrad, 35 Nervskogo str","Russia","Kaliningrad"
"235",1753,"DroneDel","United Arab Emirates, Dubai, Dubai","United Arab Emirates","Dubai"
"236",1757,"PlaceView","Ukraine, Dnipropetrovsk, ул. Старокозацкая 27","Ukraine","Dnipropetrovsk"
"237",1762,"Creative Boro","United States, Nashville, 107 W Lytle St, Murfreesboro, TN 37130","United States","Nashville"
"238",1768,"Bitfortip","Greece, Nea Smyrni, Athens","Greece","Nea Smyrni"
"239",1786,"Berekotry Ltd","Nigeria, Ibadan, Km.1, Oremoje Rd., Iseyin 202001 Nigeria","Nigeria","Ibadan"
"240",1792,"BrightMinds Social","United States, Los Angeles, California","United States","Los Angeles"
"241",1814,"Bubblehunt","Russia, Saint Petersburg, Saint-Petersburg","Russia","Saint Petersburg"
"242",1825,"Organic Love","Netherlands, Eindhoven, Mgr. bosstraat 7f uden","Netherlands","Eindhoven"
"243",1828,"Scanomilk","Russia, Ufa, Ufa","Russia","Ufa"
"244",1835,"DR","Czech Republic, Ceske Budejovice, Czech","Czech Republic","Ceske Budejovice"
"245",1838,"ВПФ","Russia, Yaroslavl, Ярославль пр.Ленина 19","Russia","Yaroslavl"
"246",1843,"Dollar Lean Club","United States, Miami, Miami, FL","United States","Miami"
"247",1848,"Кофеворк","Russia, Saint Petersburg, Новая Голландия","Russia","Saint Petersburg"
"248",1854,"Quantmbet","Australia, Canberra-Queanbeyan, 107 Long st Goulburn NSW 2580 Australia","Australia","Canberra-Queanbeyan"
"249",1855,"WiNDY","Finland, Helsinki, Espoo","Finland","Helsinki"
"250",1863,"Progres","Russia, Irkutsk, Russia, Irkutsk","Russia","Irkutsk"
"251",1878,"Dariedu.ru","Russia, Moscow, Тушинская,10","Russia","Moscow"
"252",1883,"Price-hunt","India, Gurgaon, N-6/7, DLF Phase 2","India","Gurgaon"
"253",1885,"Medbox","Russia, Moscow, Москва","Russia","Moscow"
"254",1887,"RELAX. BELGIAN KRAFT PUB","Russia, Kostroma, Kostroma","Russia","Kostroma"
"255",1895,"Bright Advise","Ukraine, Odesa, Odesa","Ukraine","Odesa"
"256",1896,"HKLAstudio, Inc.","United States, Los Angeles, Los Angeles, CA","United States","Los Angeles"
"257",1898,"AppSierra Solutions Pvt Ltd","India, Noida, C 277, Basement Foor, Rajdhani Corporate Suites, Sector 63, Noida","India","Noida"
"258",1905,"ООО РОССИННО","Russia, Saint Petersburg, Moyki 61","Russia","Saint Petersburg"
"259",1912,"Mizar Games","Ukraine, Odesa, ул. Жемчужная 3","Ukraine","Odesa"
"260",1914,"Commercial Landscaping Vancouver","Canada, Vancouver, 170-422 Richards Street","Canada","Vancouver"
"261",1925,"Lingolearn","Israel, Haifa, haifa israel","Israel","Haifa"
"262",1931,"ScorpiGem Limited","New Zealand, Palmerston North, Palmerston North, Manawatu","New Zealand","Palmerston North"
"263",1940,"Fitoware","Russia, Moscow, 4., Likhachevskiy lane","Russia","Moscow"
"264",1944,"SPYCOB.com","United States, San Francisco, 925 Market st","United States","San Francisco"
"265",1945,"Антианоним","Russia, Samara, Samara","Russia","Samara"
"266",1948,"Patent Projects","Italy, Naples, Naples","Italy","Naples"
"267",1950,"hosting4devs","Spain, A Coruna, Santiago de Compostela","Spain","A Coruna"
"268",1957,"Kenaz","Russia, Moscow, Москва","Russia","Moscow"
"269",1959,"Trassis","Ukraine, Kyiv, Kyiv","Ukraine","Kyiv"
